ID;NAME;FORM;STREET;POSTBOX;POSTCODE;CITY;COUNTRY;REGION;TELEPHONE;CUSTTYPE;DISCOUNT;LANGU;EMAIL;WEBUSER
2606;Benjamin Hansmann;Mr;252 Voodoo Avenue;;63728;New Orleans;US;;+1 552 48959 68876;P;15;EN;Benjamin_Hansmann@NewOrleans.net;
2607;Christoph Cesari;Mr;196 Federal Avenue;;17844;Washington;US;;221 784 4478;P;0;EN;Christoph_Cesari@Washington.net;
2608;Ludwig Legrand;Herr;Wilhelminentr. 86;;64283;Darmstadt;DE;;06151 77372;P;5;DE;Ludwig_Legrand@Darmstadt.net;
2609;Ludwig Marshall;Herr;Wilhelminentr. 234;;64283;Darmstadt;DE;;06151 77372;P;10;DE;Ludwig_Marshall@Darmstadt.net;
2610;Jean-Luc Ryan;Herr;13 Rue Balzac;;75839;Paris;FR;;+33 10 3387 23428;P;15;FR;Jean-Luc_Ryan@Paris.net;
2611;August Madeira;Herr;Alte Reichsstr. 127;;66464;Homburg;DE;;06841 53232;P;0;DE;August_Madeira@Homburg.net;
2612;Marta Mechler;Sra.;173 Camelias;;08014;Barcelona;ES;;932374423;P;5;ES;Marta_Mechler@Barcelona.net;
2613;Benjamin Wohl;Mr;51 Voodoo Avenue;;63728;New Orleans;US;;+1 552 48959 68876;P;10;EN;Benjamin_Wohl@NewOrleans.net;
2614;Irmtraut Prinz;Frau;Max-Planck-Str. 33;;63150;Heusenstamm;DE;;06104 554433;P;15;DE;Irmtraut_Prinz@Heusenstamm.net;
2615;Salvador Benz;Sr.;261 Piedad;;41006;Sevilla;ES;;953345728;P;0;ES;Salvador_Benz@Sevilla.net;
2616;Achim Kirk;Herr;Rankestr. 204;;76137;Karlsruhe;DE;;0721 37758;P;5;DE;Achim_Kirk@Karlsruhe.net;
2617;Florian Picard;Herr;Gruenlingweg 136;;69180;Wiesloch;DE;;06222 12345;P;10;DE;Florian_Picard@Wiesloch.net;
2618;Fabio Babilon;Mr.;Via Giulio Cesare 28;;00195;Roma;IT;;3452738785;P;15;IT;Fabio_Babilon@Roma.net;
2619;Laura Meier;Frau;Raupelsweg 62;;60118;Mainz;DE;;06221 934 432;P;0;DE;Laura_Meier@Mainz.net;
2620;Lee Detemple;Mr.;31 17th St.;;09765;Boulder;US;;516-865-1547;P;5;EN;Lee_Detemple@Boulder.net;
2621;Hendrik Matthaeus;Herr;Auf dem Huegel 244;;75757;Elsenz;DE;;07272 757575;P;10;DE;Hendrik_Matthaeus@Elsenz.net;
2622;Thomas Kramer;Mr.;163 Lake Shore Drive;;60657;Chicago;US;IL;312 781 8000;P;15;EN;Thomas_Kramer@Chicago.net;
2623;Adam Jacqmain;Herr;Heidelberger Str. 267;;69483;Wald-Michelbach;DE;;06207 4138;P;0;DE;Adam_Jacqmain@Wald-Michelbach.net;
2624;Siegfried Neubasler;Herr;Schillerstr. 256;;15344;Strausberg;DE;;03342 365749;P;5;DE;Siegfried_Neubasler@Strausberg.net;
2625;Thilo Gahl;Herr;Zwischergasse 182;;23496;Dielheim;DE;;1234 5678900386;P;10;DE;Thilo_Gahl@Dielheim.net;
2626;Ida Sessler;Frau;Dudweilerstr. 118;;66386;St. Ingbert;DE;;06894 194285;P;15;DE;Ida_Sessler@St.Ingbert.net;
2627;Peter Zimmermann;Herr;Karl-Marx-Allee 96;;16233;Potsdam;DE;;03224 78655;P;0;DE;Peter_Zimmermann@Potsdam.net;
2628;Anna Gueldenpfennig;Frau;Lerchenstr. 215;;86343;Koenigsbrunn;DE;;08912 44376;P;5;DE;Anna_Gueldenpfennig@Koenigsbrunn.net;
2629;Andrej Kramer;Herr;265 Poklukarjeva;;1000;Ljubljana;SI;;00386 61 277543;P;10;DE;Andrej_Kramer@Ljubljana.net;
2630;Jean Picard;M;40 rue Voltaire;;B - 1030;Bruxelles;BE;;+32 2 202 1638;P;15;FR;Jean_Picard@Bruxelles.net;
2631;Amelie Legrand;Frau;Froschstr. 68;;68753;Amelie;DE;;07254 953350;P;0;DE;Amelie_Legrand@Amelie.net;
2632;Georg Delon;Herr;Caspar-David-Friedrich-Str. 28;;69190;Walldorf;DE;;06227/57188;P;5;DE;Georg_Delon@Walldorf.net;
2633;Claire Sessler;Frau;Meerfeldstr. 1;;68163;Mannheim-Lindenhof;DE;;0049 621 8283279;P;10;DE;Claire_Sessler@Mannheim-Lindenhof.net;
2634;Carmel Hunter;Dr.;74 Oak Street;;07666;Teaneck;US;;973-331-3069;P;15;EN;Carmel_Hunter@Teaneck.net;
2635;Christine Simonen;Frau;Emil-Heckel-Str. 274;;68163;Mannheim;DE;;0621/812547;P;0;DE;Christine_Simonen@Mannheim.net;
2636;Benjamin Montero;Mr;140 Voodoo Avenue;;63728;New Orleans;US;;+1 552 48959 68876;P;5;EN;Benjamin_Montero@NewOrleans.net;
2637;Florian Heller;Herr;Gruenlingweg 141;;69180;Wiesloch;DE;;06222 12345;P;10;DE;Florian_Heller@Wiesloch.net;
2638;Anna Marshall;Frau;N7, 270;;68161;Mannheim;DE;;0621/25871;P;15;DE;Anna_Marshall@Mannheim.net;
2639;Juan Detemple;Sr.;206 Fuenlabrada;;28017;Madrid;ES;;914782397;P;0;ES;Juan_Detemple@Madrid.net;
2640;Claire Illner;Frau;Meerfeldstr. 55;;68163;Mannheim-Lindenhof;DE;;0049 621 8283279;P;5;DE;Claire_Illner@Mannheim-Lindenhof.net;
2641;Christa Eichbaum;Frau;Ausserhalb 201;;64342;Seeheim-Jugenheim;DE;;06157 93123;P;10;DE;Christa_Eichbaum@Seeheim-Jugenheim.net;
2642;Christine Neubasler;Frau;Emil-Heckel-Str. 8;;68163;Mannheim;DE;;0621/812547;P;15;DE;Christine_Neubasler@Mannheim.net;
2643;Amelie Hunter;Frau;Froschstr. 165;;68753;Amelie;DE;;07254 953350;P;0;DE;Amelie_Hunter@Amelie.net;
2644;Chantal Hansmann;Mme;72 rue Nieuport;;78140;Vlizy;FR;;0134 63 1919;P;5;FR;Chantal_Hansmann@Vlizy.net;
2645;Anna Koller;Frau;N7, 224;;68161;Mannheim;DE;;0621/25871;P;10;DE;Anna_Koller@Mannheim.net;
2646;Juan Hoffen;Sr.;168 Fuenlabrada;;28017;Madrid;ES;;914782397;P;15;ES;Juan_Hoffen@Madrid.net;
2647;Walter Picard;Herr;Carl-Metz Strasse 53;;68163;Mannheim;DE;;0049 621 8282693;P;0;DE;Walter_Picard@Mannheim.net;
2648;Irmtraut Heller;Frau;Max-Planck-Str. 137;;63150;Heusenstamm;DE;;06104 554433;P;5;DE;Irmtraut_Heller@Heusenstamm.net;
2649;Pierre Lautenbach;M;214 route de Pgomas;;06130;Grasse;FR;;+33 2 72 69 00 32;P;10;FR;Pierre_Lautenbach@Grasse.net;
2650;Stephen Neubasler;Herr;Arionweg 272;;68723;Schwetzingen;DE;;06202 12345;P;15;DE;Stephen_Neubasler@Schwetzingen.net;
2651;Peter Fischmann;Herr;Karl-Marx-Allee 83;;16233;Potsdam;DE;;03224 78655;P;0;DE;Peter_Fischmann@Potsdam.net;
2652;Hendrik Delon;Herr;Auf dem Huegel 259;;75757;Elsenz;DE;;07272 757575;P;5;DE;Hendrik_Delon@Elsenz.net;
2653;Stephen Vrsic;Herr;Arionweg 151;;68723;Schwetzingen;DE;;06202 12345;P;10;DE;Stephen_Vrsic@Schwetzingen.net;
2654;Cindy Fischmann;Mrs;110 Windstone Drive;;76018;Arlington;US;TX;817 472 1902;P;15;EN;Cindy_Fischmann@Arlington.net;
2655;Allen Barth;Mr.;105 Sagamore St.;;17758;N. Massapequa;US;;201-692-8128;P;0;EN;Allen_Barth@N.Massapequa.net;
2656;Guillermo Barth;Mr.;64 Pza. Pablo Ruiz Picasso;;28020;Madrid;ES;;34914567200;P;5;ES;Guillermo_Barth@Madrid.net;
2657;Gisela Benz;Frau;Goeckinghofstr. 255;;58332;Schwelm;DE;;02336/934587;P;10;DE;Gisela_Benz@Schwelm.net;
2658;Lee Cesari;Mr.;119 17th St.;;09765;Boulder;US;;516-865-1547;P;15;EN;Lee_Cesari@Boulder.net;
2659;Laura Eichbaum;Frau;Raupelsweg 77;;60118;Mainz;DE;;06221 934 432;P;0;DE;Laura_Eichbaum@Mainz.net;
2660;Uli Gutenberg;Frau;Franz-Marc-Str. 263;;70111;Reutlingen;DE;;0734 372509;P;5;DE;Uli_Gutenberg@Reutlingen.net;
2661;Simon Lautenbach;M;rue de Moillebeau 106;;1211;Genve;CH;;+41 22 730 4003;P;10;FR;Simon_Lautenbach@Genve.net;
2662;Illya Vrsic;Herr;Im Warmet 45;;69231;Rauenberg;DE;;0800 700707;P;15;DE;Illya_Vrsic@Rauenberg.net;
2663;Ludwig Columbo;Herr;Wilhelminentr. 249;;64283;Darmstadt;DE;;06151 77372;P;0;DE;Ludwig_Columbo@Darmstadt.net;
2664;Thomas Illner;Mr.;117 Lake Shore Drive;;60657;Chicago;US;IL;312 781 8000;P;5;EN;Thomas_Illner@Chicago.net;
2665;Laura Sisko;Frau;Raupelsweg 175;;60118;Mainz;DE;;06221 934 432;P;10;DE;Laura_Sisko@Mainz.net;
2666;Carmel Lautenbach;Dr.;70 Oak Street;;07666;Teaneck;US;;973-331-3069;P;15;EN;Carmel_Lautenbach@Teaneck.net;
2667;Roland Hansmann;Herr;Gemeindestr. 279;;79761;Waldshut;DE;;07751 800753;P;0;DE;Roland_Hansmann@Waldshut.net;
2668;Allen Koller;Mr.;22 Sagamore St.;;17758;N. Massapequa;US;;201-692-8128;P;5;EN;Allen_Koller@N.Massapequa.net;
2669;Kurt Gutenberg;Dr.;Waldmann 66;;69207;Kurt;DE;;06221 922 053;P;10;DE;Kurt_Gutenberg@Kurt.net;
2670;Thilo Heller;Herr;Zwischergasse 237;;23496;Dielheim;DE;;1234 5678900386;P;15;DE;Thilo_Heller@Dielheim.net;
2671;Irene Cesari;Frau;Akazienweg 158;;27299;Langwedel;DE;;04232 16212;P;0;DE;Irene_Cesari@Langwedel.net;
2672;Andrej Miguel;Herr;278 Poklukarjeva;;1000;Ljubljana;SI;;00386 61 277543;P;5;DE;Andrej_Miguel@Ljubljana.net;
2673;Marta Lautenbach;Sra.;91 Camelias;;08014;Barcelona;ES;;932374423;P;10;ES;Marta_Lautenbach@Barcelona.net;
2674;Thomas Hoffen;Mr.;63 Lake Shore Drive;;60657;Chicago;US;IL;312 781 8000;P;15;EN;Thomas_Hoffen@Chicago.net;
2675;Chantal Kirk;Mme;113 rue Nieuport;;78140;Vlizy;FR;;0134 63 1919;P;0;FR;Chantal_Kirk@Vlizy.net;
2676;Illya Gueldenpfennig;Herr;Im Warmet 16;;69231;Rauenberg;DE;;0800 700707;P;5;DE;Illya_Gueldenpfennig@Rauenberg.net;
2677;Johannes Gahl;Herr;Leichhof 3;;55128;Mainz;DE;;06131 125627;P;10;DE;Johannes_Gahl@Mainz.net;
2678;Marta Gahl;Sra.;220 Camelias;;08014;Barcelona;ES;;932374423;P;15;ES;Marta_Gahl@Barcelona.net;
2679;Ruth Leisert;Frau;Melissenstr. 181;;41466;Neuss;DE;;02131 465750;P;0;DE;Ruth_Leisert@Neuss.net;
2680;Christoph Picard;Mr;229 Federal Avenue;;17844;Washington;US;;221 784 4478;P;5;EN;Christoph_Picard@Washington.net;
2681;Achim Koller;Herr;Rankestr. 25;;76137;Karlsruhe;DE;;0721 37758;P;10;DE;Achim_Koller@Karlsruhe.net;
2682;Ulla Fischmann;Frau;Gruenlingweg 171;;69180;Wiesloch;DE;;06222 12345;P;15;DE;Ulla_Fischmann@Wiesloch.net;
2683;Thilo Goelke;Herr;Zwischergasse 111;;23496;Dielheim;DE;;1234 5678900386;P;0;DE;Thilo_Goelke@Dielheim.net;
2684;Kurt Illner;Dr.;Waldmann 251;;69207;Kurt;DE;;06221 922 053;P;5;DE;Kurt_Illner@Kurt.net;
2685;Anna Domenech;Frau;Lerchenstr. 23;;86343;Koenigsbrunn;DE;;08912 44376;P;10;DE;Anna_Domenech@Koenigsbrunn.net;
2686;Annemarie Marshall;Frau;Stauboernchenstrasse 238;;67663;Kaiserslautern;DE;RHP;0631 2052399;P;15;DE;Annemarie_Marshall@Kaiserslautern.net;
2687;Jean Madeira;M;11 rue Voltaire;;B - 1030;Bruxelles;BE;;+32 2 202 1638;P;0;FR;Jean_Madeira@Bruxelles.net;
2688;Thilo Marshall;Herr;Zwischergasse 59;;23496;Dielheim;DE;;1234 5678900386;P;5;DE;Thilo_Marshall@Dielheim.net;
2689;Ludwig Zimmermann;Herr;Wilhelminentr. 212;;64283;Darmstadt;DE;;06151 77372;P;10;DE;Ludwig_Zimmermann@Darmstadt.net;
2690;Guenther Wohl;Herr;Jacobistrasse 36;;79104;Freiburg;DE;;0761 475633;P;15;DE;Guenther_Wohl@Freiburg.net;
2691;Siegfried Heller;Herr;Schillerstr. 203;;15344;Strausberg;DE;;03342 365749;P;0;DE;Siegfried_Heller@Strausberg.net;
2692;Ruth Babilon;Frau;Melissenstr. 192;;41466;Neuss;DE;;02131 465750;P;5;DE;Ruth_Babilon@Neuss.net;
2693;Chantal Rahn;Mme;199 rue Nieuport;;78140;Vlizy;FR;;0134 63 1919;P;10;FR;Chantal_Rahn@Vlizy.net;
2694;Guenther Leisert;Herr;Jacobistrasse 20;;79104;Freiburg;DE;;0761 475633;P;15;DE;Guenther_Leisert@Freiburg.net;
2695;Jean Zimmermann;M;148 rue Voltaire;;B - 1030;Bruxelles;BE;;+32 2 202 1638;P;0;FR;Jean_Zimmermann@Bruxelles.net;
2696;Allen Heller;Mr.;232 Sagamore St.;;17758;N. Massapequa;US;;201-692-8128;P;5;EN;Allen_Heller@N.Massapequa.net;
2697;Johann Madeira;Herr;Ausfallstr. 128;;11111;Berlin;DE;;030 72545675;P;10;DE;Johann_Madeira@Berlin.net;
2698;Peter Dumbach;Herr;Karl-Marx-Allee 241;;16233;Potsdam;DE;;03224 78655;P;15;DE;Peter_Dumbach@Potsdam.net;
2699;August Matthaeus;Herr;Alte Reichsstr. 147;;66464;Homburg;DE;;06841 53232;P;0;DE;August_Matthaeus@Homburg.net;
2700;Ludwig Benz;Herr;Wilhelminentr. 73;;64283;Darmstadt;DE;;06151 77372;P;5;DE;Ludwig_Benz@Darmstadt.net;
2701;Ida Gahl;Frau;Dudweilerstr. 79;;66386;St. Ingbert;DE;;06894 194285;P;10;DE;Ida_Gahl@St.Ingbert.net;
2702;Benjamin Kirk;Mr;219 Voodoo Avenue;;63728;New Orleans;US;;+1 552 48959 68876;P;15;EN;Benjamin_Kirk@NewOrleans.net;
2703;Johann Hansmann;Herr;Ausfallstr. 87;;11111;Berlin;DE;;030 72545675;P;0;DE;Johann_Hansmann@Berlin.net;
2704;Simon Jacqmain;M;rue de Moillebeau 30;;1211;Genve;CH;;+41 22 730 4003;P;5;FR;Simon_Jacqmain@Genve.net;
2705;Illya Buehler;Herr;Im Warmet 185;;69231;Rauenberg;DE;;0800 700707;P;10;DE;Illya_Buehler@Rauenberg.net;
2706;James Henry;Herr;227 Golden Gate Drive;;22334;San Francisco;US;;+1 240 27589 29874;P;15;EN;James_Henry@SanFrancisco.net;
2707;Andrej Hunter;Herr;133 Poklukarjeva;;1000;Ljubljana;SI;;00386 61 277543;P;0;DE;Andrej_Hunter@Ljubljana.net;
2708;Salvador Lindwurm;Sr.;43 Piedad;;41006;Sevilla;ES;;953345728;P;5;ES;Salvador_Lindwurm@Sevilla.net;
2709;Siegfried Buehler;Herr;Schillerstr. 190;;15344;Strausberg;DE;;03342 365749;P;10;DE;Siegfried_Buehler@Strausberg.net;
2710;Siegfried Meier;Herr;Schillerstr. 57;;15344;Strausberg;DE;;03342 365749;P;15;DE;Siegfried_Meier@Strausberg.net;
2711;Benjamin Miguel;Mr;61 Voodoo Avenue;;63728;New Orleans;US;;+1 552 48959 68876;P;0;EN;Benjamin_Miguel@NewOrleans.net;
2712;Thilo Jacqmain;Herr;Zwischergasse 213;;23496;Dielheim;DE;;1234 5678900386;P;5;DE;Thilo_Jacqmain@Dielheim.net;
2713;Walter Schneider;Herr;Carl-Metz Strasse 6;;68163;Mannheim;DE;;0049 621 8282693;P;10;DE;Walter_Schneider@Mannheim.net;
2714;Christoph Weiss;Mr;221 Federal Avenue;;17844;Washington;US;;221 784 4478;P;15;EN;Christoph_Weiss@Washington.net;
2715;Carmel Zimmermann;Dr.;247 Oak Street;;07666;Teaneck;US;;973-331-3069;P;0;EN;Carmel_Zimmermann@Teaneck.net;
2716;Christoph Trensch;Mr;54 Federal Avenue;;17844;Washington;US;;221 784 4478;P;5;EN;Christoph_Trensch@Washington.net;
2717;Thomas Moyano;Mr.;15 Lake Shore Drive;;60657;Chicago;US;IL;312 781 8000;P;10;EN;Thomas_Moyano@Chicago.net;
2718;Achim Pratt;Herr;Rankestr. 248;;76137;Karlsruhe;DE;;0721 37758;P;15;DE;Achim_Pratt@Karlsruhe.net;
2719;Andrej Henry;Herr;102 Poklukarjeva;;1000;Ljubljana;SI;;00386 61 277543;P;0;DE;Andrej_Henry@Ljubljana.net;
2720;Christoph Eichbaum;Mr;27 Federal Avenue;;17844;Washington;US;;221 784 4478;P;5;EN;Christoph_Eichbaum@Washington.net;
2721;Hendrik Madeira;Herr;Auf dem Huegel 193;;75757;Elsenz;DE;;07272 757575;P;10;DE;Hendrik_Madeira@Elsenz.net;
2722;Jean Cesari;M;225 rue Voltaire;;B - 1030;Bruxelles;BE;;+32 2 202 1638;P;15;FR;Jean_Cesari@Bruxelles.net;
2723;Lothar Montero;Herr;Stiftsbogen 76;;81375;Muenchen;DE;BAY;089 8828838;P;0;DE;Lothar_Montero@Muenchen.net;
2724;Annemarie Buchholm;Frau;Stauboernchenstrasse 208;;67663;Kaiserslautern;DE;RHP;0631 2052399;P;5;DE;Annemarie_Buchholm@Kaiserslautern.net;
2725;Guillermo Moyano;Mr.;101 Pza. Pablo Ruiz Picasso;;28020;Madrid;ES;;34914567200;P;10;ES;Guillermo_Moyano@Madrid.net;
2726;Horst Hunter;Herr;Elzstrasse 58;;79312;Emmendingen;DE;;07641 927813;P;15;DE;Horst_Hunter@Emmendingen.net;
2727;Guillermo Neubasler;Mr.;149 Pza. Pablo Ruiz Picasso;;28020;Madrid;ES;;34914567200;P;0;ES;Guillermo_Neubasler@Madrid.net;
2728;Lothar Heller;Herr;Stiftsbogen 180;;81375;Muenchen;DE;BAY;089 8828838;P;5;DE;Lothar_Heller@Muenchen.net;
2729;Georg Goelke;Herr;Caspar-David-Friedrich-Str. 11;;69190;Walldorf;DE;;06227/57188;P;10;DE;Georg_Goelke@Walldorf.net;
2730;Siegfried Sudhoff;Herr;Schillerstr. 195;;15344;Strausberg;DE;;03342 365749;P;15;DE;Siegfried_Sudhoff@Strausberg.net;
2731;Andrej Deichgraeber;Herr;207 Poklukarjeva;;1000;Ljubljana;SI;;00386 61 277543;P;0;DE;Andrej_Deichgraeber@Ljubljana.net;
2732;Jean-Luc Miguel;Herr;80 Rue Balzac;;75839;Paris;FR;;+33 10 3387 23428;P;5;FR;Jean-Luc_Miguel@Paris.net;
2733;Friedrich Legrand;Herr;Friedensallee 230;;63263;Neu-Isenburg;DE;;06227 12345;P;10;DE;Friedrich_Legrand@Neu-Isenburg.net;
2734;James Sommer;Herr;52 Golden Gate Drive;;22334;San Francisco;US;;+1 240 27589 29874;P;15;EN;James_Sommer@SanFrancisco.net;
2735;Ulla Buehler;Frau;Gruenlingweg 2;;69180;Wiesloch;DE;;06222 12345;P;0;DE;Ulla_Buehler@Wiesloch.net;
2736;Cindy Eichbaum;Mrs;183 Windstone Drive;;76018;Arlington;US;TX;817 472 1902;P;5;EN;Cindy_Eichbaum@Arlington.net;
2737;Irene Neubasler;Frau;Akazienweg 14;;27299;Langwedel;DE;;04232 16212;P;10;DE;Irene_Neubasler@Langwedel.net;
2738;Cindy Koller;Mrs;277 Windstone Drive;;76018;Arlington;US;TX;817 472 1902;P;15;EN;Cindy_Koller@Arlington.net;
2739;Fabio Gutenberg;Mr.;Via Giulio Cesare 273;;00195;Roma;IT;;3452738785;P;0;IT;Fabio_Gutenberg@Roma.net;
2740;Marta Trensch;Sra.;112 Camelias;;08014;Barcelona;ES;;932374423;P;5;ES;Marta_Trensch@Barcelona.net;
2741;Salvador Neubasler;Sr.;268 Piedad;;41006;Sevilla;ES;;953345728;P;10;ES;Salvador_Neubasler@Sevilla.net;
2742;Adam Heller;Herr;Heidelberger Str. 78;;69483;Wald-Michelbach;DE;;06207 4138;P;15;DE;Adam_Heller@Wald-Michelbach.net;
2743;Holm Prinz;Herr;Muehltalstr. 200;;69121;Heidelberg;DE;;06221 54321;P;0;DE;Holm_Prinz@Heidelberg.net;
2744;Irmtraut Fischmann;Frau;Max-Planck-Str. 71;;63150;Heusenstamm;DE;;06104 554433;P;5;DE;Irmtraut_Fischmann@Heusenstamm.net;
2745;Chantal Leisert;Mme;108 rue Nieuport;;78140;Vlizy;FR;;0134 63 1919;P;10;FR;Chantal_Leisert@Vlizy.net;
2746;Walter Miguel;Herr;Carl-Metz Strasse 167;;68163;Mannheim;DE;;0049 621 8282693;P;15;DE;Walter_Miguel@Mannheim.net;
2747;Annemarie Gutenberg;Frau;Stauboernchenstrasse 233;;67663;Kaiserslautern;DE;RHP;0631 2052399;P;0;DE;Annemarie_Gutenberg@Kaiserslautern.net;
2748;Kurt Cesari;Dr.;Waldmann 139;;69207;Kurt;DE;;06221 922 053;P;5;DE;Kurt_Cesari@Kurt.net;
2749;Achim Kreiss;Herr;Rankestr. 202;;76137;Karlsruhe;DE;;0721 37758;P;10;DE;Achim_Kreiss@Karlsruhe.net;
2750;Adam Simonen;Herr;Heidelberger Str. 90;;69483;Wald-Michelbach;DE;;06207 4138;P;15;DE;Adam_Simonen@Wald-Michelbach.net;
2751;Ida Heller;Frau;Dudweilerstr. 85;;66386;St. Ingbert;DE;;06894 194285;P;0;DE;Ida_Heller@St.Ingbert.net;
2752;Andreas Pan;Herr;Hasnerstrasse 266;;4020;Linz;AT;;0732 652149;P;5;DE;Andreas_Pan@Linz.net;
2753;Illya Simonen;Herr;Im Warmet 50;;69231;Rauenberg;DE;;0800 700707;P;10;DE;Illya_Simonen@Rauenberg.net;
2754;Fabio Barth;Mr.;Via Giulio Cesare 4;;00195;Roma;IT;;3452738785;P;15;IT;Fabio_Barth@Roma.net;
2755;Matthias Martin;Herr;Gartenstr. 178;;69123;Heidelberg;DE;;07254 6442;P;0;DE;Matthias_Martin@Heidelberg.net;
2756;Friedrich Montero;Herr;Friedensallee 123;;63263;Neu-Isenburg;DE;;06227 12345;P;5;DE;Friedrich_Montero@Neu-Isenburg.net;
2757;Roland Benz;Herr;Gemeindestr. 169;;79761;Waldshut;DE;;07751 800753;P;10;DE;Roland_Benz@Waldshut.net;
2758;Achim Schneider;Herr;Rankestr. 142;;76137;Karlsruhe;DE;;0721 37758;P;15;DE;Achim_Schneider@Karlsruhe.net;
2759;Jean Montero;M;280 rue Voltaire;;B - 1030;Bruxelles;BE;;+32 2 202 1638;P;0;FR;Jean_Montero@Bruxelles.net;
2760;Horst Meier;Herr;Elzstrasse 156;;79312;Emmendingen;DE;;07641 927813;P;5;DE;Horst_Meier@Emmendingen.net;
2761;Fabio Detemple;Mr.;Via Giulio Cesare 174;;00195;Roma;IT;;3452738785;P;10;IT;Fabio_Detemple@Roma.net;
2762;Chantal Jacqmain;Mme;84 rue Nieuport;;78140;Vlizy;FR;;0134 63 1919;P;15;FR;Chantal_Jacqmain@Vlizy.net;
2763;Simon Meier;M;rue de Moillebeau 37;;1211;Genve;CH;;+41 22 730 4003;P;0;FR;Simon_Meier@Genve.net;
2764;Sophie Wohl;Frau;Mutterstadter Str. 186;;67105;Schifferstadt;DE;;0049 6235 93317;P;5;DE;Sophie_Wohl@Schifferstadt.net;
2765;Irmtraut Marshall;Frau;Max-Planck-Str. 125;;63150;Heusenstamm;DE;;06104 554433;P;10;DE;Irmtraut_Marshall@Heusenstamm.net;
2766;Matthias Sommer;Herr;Gartenstr. 134;;69123;Heidelberg;DE;;07254 6442;P;15;DE;Matthias_Sommer@Heidelberg.net;
2767;Allen Sisko;Mr.;35 Sagamore St.;;17758;N. Massapequa;US;;201-692-8128;P;0;EN;Allen_Sisko@N.Massapequa.net;
2768;Prof. Illya S. Benz;Herr;Im Warmet 231;;69231;Rauenberg;DE;;0800 700707;P;5;DE;Illya_Benz@Rauenberg.net;
2769;August Gutenberg;Herr;Alte Reichsstr. 197;;66464;Homburg;DE;;06841 53232;P;10;DE;August_Gutenberg@Homburg.net;
2770;Adam Waldmann;Herr;Heidelberger Str. 93;;69483;Wald-Michelbach;DE;;06207 4138;P;15;DE;Adam_Waldmann@Wald-Michelbach.net;
2771;Thilo Babilon;Herr;Zwischergasse 98;;23496;Dielheim;DE;;1234 5678900386;P;0;DE;Thilo_Babilon@Dielheim.net;
2772;Claire Cesari;Frau;Meerfeldstr. 159;;68163;Mannheim-Lindenhof;DE;;0049 621 8283279;P;5;DE;Claire_Cesari@Mannheim-Lindenhof.net;
2773;James Zimmermann;Herr;240 Golden Gate Drive;;22334;San Francisco;US;;+1 240 27589 29874;P;10;EN;James_Zimmermann@SanFrancisco.net;
2774;Jean Miguel;M;65 rue Voltaire;;B - 1030;Bruxelles;BE;;+32 2 202 1638;P;15;FR;Jean_Miguel@Bruxelles.net;
2775;Astrid Columbo;Frau;Karl-Schwaner-Str. 243;;68219;Mannheim;DE;;0621 801740;P;0;DE;Astrid_Columbo@Mannheim.net;
2776;Anna Deichgraeber;Frau;Lerchenstr. 239;;86343;Koenigsbrunn;DE;;08912 44376;P;5;DE;Anna_Deichgraeber@Koenigsbrunn.net;
2777;Anna Miguel;Frau;Lerchenstr. 253;;86343;Koenigsbrunn;DE;;08912 44376;P;10;DE;Anna_Miguel@Koenigsbrunn.net;
2778;Jean Lautenbach;M;228 rue Voltaire;;B - 1030;Bruxelles;BE;;+32 2 202 1638;P;15;FR;Jean_Lautenbach@Bruxelles.net;
2779;Thilo Vrsic;Herr;Zwischergasse 34;;23496;Dielheim;DE;;1234 5678900386;P;0;DE;Thilo_Vrsic@Dielheim.net;
2780;Annemarie Leisert;Frau;Stauboernchenstrasse 46;;67663;Kaiserslautern;DE;RHP;0631 2052399;P;5;DE;Annemarie_Leisert@Kaiserslautern.net;
2781;Anne-Marie Sommer;Frau;Marktplatz 250;;90419;Nuernberg;DE;Bay;0911 584 365;P;10;DE;Anne-Marie_Sommer@Nuernberg.net;
2782;Benjamin Mechler;Mr;262 Voodoo Avenue;;63728;New Orleans;US;;+1 552 48959 68876;P;15;EN;Benjamin_Mechler@NewOrleans.net;
2783;Guillermo Simonen;Mr.;10 Pza. Pablo Ruiz Picasso;;28020;Madrid;ES;;34914567200;P;0;ES;Guillermo_Simonen@Madrid.net;
2784;Gisela Delon;Frau;Goeckinghofstr. 126;;58332;Schwelm;DE;;02336/934587;P;5;DE;Gisela_Delon@Schwelm.net;
2785;Irene Matthaeus;Frau;Akazienweg 95;;27299;Langwedel;DE;;04232 16212;P;10;DE;Irene_Matthaeus@Langwedel.net;
2786;Friedrich Wohl;Herr;Friedensallee 198;;63263;Neu-Isenburg;DE;;06227 12345;P;15;DE;Friedrich_Wohl@Neu-Isenburg.net;
2787;Cindy Domenech;Mrs;116 Windstone Drive;;76018;Arlington;US;TX;817 472 1902;P;0;EN;Cindy_Domenech@Arlington.net;
2788;Astrid Babilon;Frau;Karl-Schwaner-Str. 146;;68219;Mannheim;DE;;0621 801740;P;5;DE;Astrid_Babilon@Mannheim.net;
2789;Kurt Kirk;Dr.;Waldmann 99;;69207;Kurt;DE;;06221 922 053;P;10;DE;Kurt_Kirk@Kurt.net;
